Conformer,RMSD
1,4.447879879560776
2,4.448053405729222
3,4.4477698816233815
4,4.448001910369081
5,4.4478214491370816
6,4.447919850528178
7,4.448055193331749
8,4.447961554490485
9,4.447968491067119
10,4.447782793560441
11,4.4479061680374725
12,4.447854662911455
13,4.448012864114699
14,4.447865902002513
15,4.447965935264511
16,4.448005422570554
17,4.447737223606507
18,4.447942920200616
19,4.4479360966221195
20,4.44796561831824
21,4.447805524092802
22,4.447912636821136
23,4.447952786755863
24,4.447971390838292
25,4.447962141776754
26,4.448055193331749
27,4.447736020458939
28,4.447975734891435
29,4.447949420971725
30,4.447860049854487
31,4.448157799112792
32,4.4479772649503895
33,4.447736701225877
34,4.447941229345374
35,4.448055676910221
36,4.4478043445857125
37,4.4479147508736
38,4.448055193331749
39,4.448102363662678
40,4.4477197705595
41,4.4478883835702465
42,4.448147919134706
43,4.44796217322465
44,4.448062396837897
45,4.447795975542049
46,4.44799896374001
47,4.447850350768702
48,4.448062396837897
49,4.447963022710476
50,4.4477985563472515
51,4.448034364875022
52,4.447828047602462
53,4.447936948962467
54,4.448154923374055
55,4.448024410653094
56,4.448059078804647
57,4.447853921546221
58,4.447964029979103
59,4.4480814322247735
60,4.4479360966221195
61,4.447914547946433
62,4.44802443261293
63,4.448086434553772
64,4.447983833559393
65,4.448053013685307
66,4.447881533864105
67,4.44776660126008
68,4.44797882375432
69,4.447961355748173
70,4.447965593333472
71,4.448231681578431
72,4.448147446057776
73,4.447964765318703
74,4.447941983923014
75,4.448062396837897
76,4.447997578463664
77,4.4480868621155425
78,4.447966153557228
79,4.448010060038254
80,4.448080245657458
81,4.447875136651261
82,4.44791244013616
83,4.448051273638713
84,4.448055676910221
85,4.448006878893578
86,4.447764665071008
87,4.447834726672666
88,4.448047623405041
89,4.4480814322247735
90,4.448081531777909
91,4.448055676910221
92,4.447901597643052
93,4.447831475786845
94,4.448052595261324
95,4.448063966874884
96,4.447991994260054
97,4.447967131249165
98,4.447691126218135
99,4.448062396837897
100,4.448044823282978
