Conformer,RMSD
1,2.1820084144824143
2,2.182398105079537
3,2.1820143195163983
4,2.1823225608531627
5,2.1820143195163983
6,2.1820217852466635
7,2.182121205454996
8,2.181976362323419
9,2.182008360536484
10,2.1820513446813203
11,2.1819800857596308
12,2.182042375921893
13,2.181985628057096
14,2.1820483604061938
15,2.182042375921893
16,2.1820084144824143
17,2.1820655276747174
18,2.182117152229598
19,2.182042375921893
20,2.1828540855082097
21,2.1819615770624115
22,2.182051829524191
23,2.182128063193727
24,2.182105179063576
25,2.182092588613738
26,2.182051219505804
27,2.182082499983888
28,2.182344890845166
29,2.1819859780018507
30,2.1820759731497406
31,2.1820859048769616
32,2.182380145787933
33,2.1820727419488897
34,2.182111735092682
35,2.1820084144824143
36,2.182013414052026
37,2.182089311248682
38,2.181722896006528
39,2.1820217852466635
40,2.1820250005393906
41,2.1820859048769616
42,2.1820460333968503
43,2.182049087906372
44,2.1820217852466635
45,2.1819966207228667
46,2.182042375921893
47,2.182042375921893
48,2.182042375921893
49,2.18237922113274
50,2.182083438383564
51,2.182011147749814
52,2.181899220582834
53,2.1820458486542504
54,2.182037367863259
55,2.1819887516122827
56,2.1827364813384085
57,2.1820766046937154
58,2.1820084144824143
59,2.182007626690176
60,2.1820676938404264
61,2.182054406387749
62,2.182164348737682
63,2.1820975240226197
64,2.182001752571311
65,2.1820336717741986
66,2.1820786958349725
67,2.182049087906372
68,2.1820484911923295
69,2.182625005407386
70,2.1820483604061938
71,2.18208771029405
72,2.1821176822471577
73,2.182117152229598
74,2.182158292499425
75,2.1820788983080277
76,2.1818862348992942
77,2.1820479821053325
78,2.1820915146863036
79,2.1820353652489213
80,2.182054450843125
81,2.182092588613738
82,2.182051219505804
83,2.18212248675447
84,2.1820861067436974
85,2.1820741630429725
86,2.1820143195163983
87,2.1819390812449146
88,2.1824285634266367
89,2.182042375921893
90,2.1820772093042433
91,2.1820483604061938
92,2.182002002223924
93,2.182111735092682
94,2.1825636988276136
95,2.182088831756048
96,2.182005261900463
97,2.182401647346933
98,2.1820893711105653
99,2.182197548529995
100,2.182045576594147
